City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,ostrovnoy,68.0531,39.5131,-8.07,88,100,4.09,RU,1678106570
277,darhan,49.4867,105.9228,1.11,50,100,1.91,MN,1678106571
278,udachnyy,66.4167,112.4,-27.53,68,97,1.88,RU,1678106571
279,portland,45.5234,-122.6762,4.18,89,100,5.66,US,1678106590
280,musoma,-1.5,33.8,26.02,51,5,4.96,TZ,1678106572
281,mujiayingzi,42.1167,118.7833,7.14,25,0,2.6,CN,1678106573
282,aykhal,66.0,111.5,-31.3,100,100,1.96,RU,1678106573
283,ahar,38.4774,47.0699,15.81,45,18,14.07,IR,1678106574
284,baijiantan,45.6333,85.1833,0.07,93,95,2.88,CN,1678106574
285,san rafael,-34.6177,-68.3301,25.69,53,81,3.22,AR,1678106789
286,herat,34.5,62.0,21.18,22,0,5.0,AF,1678106575
287,uruacu,-14.5247,-49.1408,28.44,68,9,0.58,BR,1678106575
288,batagay,67.6333,134.6333,-28.69,100,97,0.94,RU,1678106576
289,zeya,53.75,127.2667,-16.19,89,100,1.97,RU,1678106452
290,oistins,13.0667,-59.5333,27.05,69,20,7.72,BB,1678106384
291,mahajanga,-15.7167,46.3167,31.01,70,40,7.2,MG,1678106577
292,saint-andre-les-vergers,48.2853,4.0521,5.02,65,100,5.14,FR,1678106577
293,okhotsk,59.3833,143.3,-23.59,98,42,1.34,RU,1678106578
294,krasnoslobodsk,48.7072,44.5714,3.9,65,0,5.0,RU,1678106578
295,jesup,31.6074,-81.8854,17.62,94,0,0.0,US,1678106579
296,bako,5.7833,36.5667,31.89,22,100,1.09,ET,1678106579
297,buraydah,26.326,43.975,29.25,13,99,6.2,SA,1678106535
298,pemangkat,1.1667,108.9667,25.08,87,100,1.86,ID,1678106580
299,grindavik,63.8424,-22.4338,-2.74,54,20,8.75,IS,1678106793
300,narsaq,60.9167,-46.05,9.12,76,1,3.97,GL,1678106794
301,la plata,-34.9215,-57.9545,29.46,50,0,5.33,AR,1678106445
302,goderich,43.7501,-81.7165,0.18,80,100,2.57,CA,1678106581
303,luderitz,-26.6481,15.1594,23.08,58,0,14.81,NA,1678106795
304,nyandoma,61.669,40.1991,-7.74,90,100,1.69,RU,1678106582
305,saraj,42.0,21.3278,11.75,45,66,3.03,MK,1678106582
306,ambilobe,-13.2,49.05,28.29,78,47,4.66,MG,1678106583
307,waingapu,-9.6567,120.2641,25.25,85,99,2.79,ID,1678106584
308,san bernardo,-33.6,-70.7167,23.97,50,0,1.2,CL,1678106585
309,pacific grove,36.6177,-121.9166,5.06,87,100,3.6,US,1678106199
310,bon accord,53.8335,-113.4187,-16.13,97,100,3.02,CA,1678106586
311,richards bay,-28.783,32.0377,26.56,78,90,4.42,ZA,1678106587
312,bathsheba,13.2167,-59.5167,27.34,69,20,7.72,BB,1678106797
313,kourou,5.1552,-52.6478,28.03,79,73,4.44,GF,1678106395
314,komsomolskiy,40.4272,71.7189,17.4,45,100,4.12,UZ,1678106798
315,chifeng,42.2683,118.9636,7.34,27,0,2.2,CN,1678106588
316,fare,-16.7,-151.0167,26.87,79,100,5.24,PF,1678106208
317,riyadh,24.6877,46.7219,33.08,13,8,5.85,SA,1678106647
318,umm lajj,25.0213,37.2685,27.24,60,6,3.22,SA,1678106307
319,bubaque,11.2833,-15.8333,24.38,66,100,4.1,GW,1678106295
320,salima,-13.7804,34.4587,27.7,75,100,2.49,MW,1678106590
321,carahue,-38.7,-73.1667,18.62,63,21,1.1,CL,1678106590
322,namie,37.4833,141.0,4.29,92,3,2.48,JP,1678106591
323,borova,50.1763,30.1043,2.97,41,100,4.78,UA,1678106592
324,mauguio,43.6181,4.0074,15.52,41,0,9.26,FR,1678106593
325,xinqing,48.2333,129.5,-5.9,96,76,0.99,CN,1678106593
326,birao,10.2849,22.7882,41.97,6,14,2.68,CF,1678106594
327,mount gambier,-37.8333,140.7667,13.61,74,2,6.62,AU,1678106305
328,tasiilaq,65.6145,-37.6368,-6.91,89,37,3.55,GL,1678106336
329,jacqueville,5.2052,-4.4146,27.9,81,39,5.66,CI,1678106595
330,tonota,-21.4833,27.4833,34.28,24,99,2.81,BW,1678106595
331,sola,-13.8833,167.55,27.49,76,59,5.1,VU,1678106274
332,chuy,-33.6971,-53.4616,24.95,53,19,4.55,UY,1678106802
333,portobelo,9.55,-79.65,24.5,87,79,5.54,PA,1678106596
334,filadelfia,39.9523,-75.1638,4.97,66,20,2.57,US,1678106494
335,rogers,36.3668,-95.5836,16.84,70,0,4.63,US,1678106597
